,date,location,ratio
85922,2020/7/31,North Carolina,0.009095503
85812,2020/8/1,North Carolina,0.025531915
85702,2020/8/2,North Carolina,0.005529226
85592,2020/8/3,North Carolina,0.011588275
85482,2020/8/4,North Carolina,0.016801075
85372,2020/8/5,North Carolina,0.033661741
85262,2020/8/6,North Carolina,0.021245059
85152,2020/8/7,North Carolina,0.024437299
85042,2020/8/8,North Carolina,0.012752391
84932,2020/8/9,North Carolina,0.0082397
84822,2020/8/10,North Carolina,0.003968254
84712,2020/8/11,North Carolina,0.037453184
84602,2020/8/12,North Carolina,0.029126214
84492,2020/8/13,North Carolina,0.02259887
84382,2020/8/14,North Carolina,0.020156047
84272,2020/8/15,North Carolina,0.018413598
84162,2020/8/16,North Carolina,0.001731602
84052,2020/8/17,North Carolina,0.014440433
83942,2020/8/18,North Carolina,0.034195163
83832,2020/8/19,North Carolina,0.028888889
83722,2020/8/20,North Carolina,0.016571724
83612,2020/8/21,North Carolina,0.013527575
83502,2020/8/22,North Carolina,0.014796547
83392,2020/8/23,North Carolina,0.009831461
83282,2020/8/24,North Carolina,0.004554327
83172,2020/8/25,North Carolina,0.031796502
83062,2020/8/26,North Carolina,0.017728168
82952,2020/8/27,North Carolina,0.009965122
82842,2020/8/28,North Carolina,0.015288395
82732,2020/8/29,North Carolina,0.01345103
82622,2020/8/30,North Carolina,0.013306039
82512,2020/8/31,North Carolina,0.00811359
82402,2020/9/1,North Carolina,0.018209408
82292,2020/9/2,North Carolina,0.031516184
82182,2020/9/3,North Carolina,0.013930951
82072,2020/9/4,North Carolina,0.01895965
81962,2020/9/5,North Carolina,0.035266458
81852,2020/9/6,North Carolina,0.006882989
81742,2020/9/7,North Carolina,0
81632,2020/9/8,North Carolina,0.023454158
81522,2020/9/9,North Carolina,0.052689352
81412,2020/9/10,North Carolina,0.020408163
81302,2020/9/11,North Carolina,0.02126329
81192,2020/9/12,North Carolina,0.016776076
81082,2020/9/13,North Carolina,0.006862745
80972,2020/9/14,North Carolina,0.012477718
80862,2020/9/15,North Carolina,0.03946102
80752,2020/9/16,North Carolina,0.031202435
80642,2020/9/17,North Carolina,0.02123424
80532,2020/9/18,North Carolina,0.017582418
80422,2020/9/19,North Carolina,0.025949954
80312,2020/9/20,North Carolina,0.008149959
80202,2020/9/21,North Carolina,0.011659193
80092,2020/9/22,North Carolina,0.031759657
79982,2020/9/23,North Carolina,0.021312873
79872,2020/9/24,North Carolina,0.019390582
79762,2020/9/25,North Carolina,0.008668388
79652,2020/9/26,North Carolina,0.01958307
79542,2020/9/27,North Carolina,0.001715266
79432,2020/9/28,North Carolina,0.008256881
79322,2020/9/29,North Carolina,0.04735062
79212,2020/9/30,North Carolina,0.033333333
79102,2020/10/1,North Carolina,0.016260163
78992,2020/10/2,North Carolina,0.014859659
78882,2020/10/3,North Carolina,0.009433962
78772,2020/10/4,North Carolina,0.010135135
