,date,location,ratio
85452,2020/8/4,Louisiana,0.00746888
85342,2020/8/5,Louisiana,0.030282638
85232,2020/8/6,Louisiana,0.038372985
85122,2020/8/7,Louisiana,0.040666667
85012,2020/8/8,Louisiana,0
84902,2020/8/9,Louisiana,0.021108179
84792,2020/8/10,Louisiana,0.042704626
84682,2020/8/11,Louisiana,0.02233677
84572,2020/8/12,Louisiana,0.040540541
84462,2020/8/13,Louisiana,0.036123348
84352,2020/8/14,Louisiana,0.021571649
84242,2020/8/15,Louisiana,0
84132,2020/8/16,Louisiana,0.065198984
84022,2020/8/17,Louisiana,0.0335097
83912,2020/8/18,Louisiana,0.04375
83802,2020/8/19,Louisiana,0.069095477
83692,2020/8/20,Louisiana,0.030501089
83582,2020/8/21,Louisiana,0.055617353
83472,2020/8/22,Louisiana,0
83362,2020/8/23,Louisiana,0.048242028
83252,2020/8/24,Louisiana,0.028892456
83142,2020/8/25,Louisiana,0.06
83032,2020/8/26,Louisiana,0.038461538
82922,2020/8/27,Louisiana,0.033973412
82812,2020/8/28,Louisiana,0.04950495
82702,2020/8/29,Louisiana,0
82592,2020/8/30,Louisiana,0.016625616
82482,2020/8/31,Louisiana,0.058282209
82372,2020/9/1,Louisiana,0.04934688
82262,2020/9/2,Louisiana,0.017376195
82152,2020/9/3,Louisiana,0.020910209
82042,2020/9/4,Louisiana,0.01703163
81932,2020/9/5,Louisiana,0
81822,2020/9/6,Louisiana,0.041577061
81712,2020/9/7,Louisiana,0.038834951
81602,2020/9/8,Louisiana,0.05078125
81492,2020/9/9,Louisiana,0.01409353
81382,2020/9/10,Louisiana,0.045258621
81272,2020/9/11,Louisiana,0.054304636
81162,2020/9/12,Louisiana,0
81052,2020/9/13,Louisiana,0.025761124
80942,2020/9/14,Louisiana,0.034552846
80832,2020/9/15,Louisiana,0.070080863
80722,2020/9/16,Louisiana,0.026143791
80612,2020/9/17,Louisiana,0.035564854
80502,2020/9/18,Louisiana,0.029622063
80392,2020/9/19,Louisiana,0
80282,2020/9/20,Louisiana,0.027777778
80172,2020/9/21,Louisiana,0.037037037
80062,2020/9/22,Louisiana,0.01462766
79952,2020/9/23,Louisiana,0.034090909
79842,2020/9/24,Louisiana,0.027729636
79732,2020/9/25,Louisiana,0.029745042
79622,2020/9/26,Louisiana,0
79512,2020/9/27,Louisiana,0.022751896
79402,2020/9/28,Louisiana,0.0625
79292,2020/9/29,Louisiana,0.018761726
79182,2020/9/30,Louisiana,0.03442623
79072,2020/10/1,Louisiana,0.014519056
78962,2020/10/2,Louisiana,0.031823745
78852,2020/10/3,Louisiana,0
78742,2020/10/4,Louisiana,0.035834267
78632,2020/10/5,Louisiana,0.041284404
78522,2020/10/6,Louisiana,0.011278195
78412,2020/10/7,Louisiana,0.005565863
78302,2020/10/8,Louisiana,0.009541985
78192,2020/10/9,Louisiana,0.101167315
78082,2020/10/10,Louisiana,0
77972,2020/10/11,Louisiana,0.016934801
77862,2020/10/12,Louisiana,0.233333333
77752,2020/10/13,Louisiana,0.014662757
77642,2020/10/14,Louisiana,0.018181818
77532,2020/10/15,Louisiana,0.01615074
77422,2020/10/16,Louisiana,0.025839793
77312,2020/10/17,Louisiana,0
77202,2020/10/18,Louisiana,0.020122485
77092,2020/10/19,Louisiana,0.07960199
76982,2020/10/20,Louisiana,0.008583691
76872,2020/10/21,Louisiana,0.013206163
76762,2020/10/22,Louisiana,0.011658031
76652,2020/10/23,Louisiana,0.030042918
76542,2020/10/24,Louisiana,0
76432,2020/10/25,Louisiana,0.017489712
76322,2020/10/26,Louisiana,0.074889868
76212,2020/10/27,Louisiana,0.019522777
76102,2020/10/28,Louisiana,0.016393443
75992,2020/10/29,Louisiana,0.045685279
75882,2020/10/30,Louisiana,0.025404157
75772,2020/10/31,Louisiana,0
75662,2020/11/1,Louisiana,0.006535948
75552,2020/11/2,Louisiana,0.029090909
75442,2020/11/3,Louisiana,0.014744146
75332,2020/11/4,Louisiana,0.023622047
75222,2020/11/5,Louisiana,0.029368576
75112,2020/11/6,Louisiana,0.024137931
75002,2020/11/7,Louisiana,0
74892,2020/11/8,Louisiana,0.015797788
74782,2020/11/9,Louisiana,0.030690537
74672,2020/11/10,Louisiana,0.007518797
74562,2020/11/11,Louisiana,0
74452,2020/11/12,Louisiana,0.010185427
74342,2020/11/13,Louisiana,0.006956522
74232,2020/11/14,Louisiana,0
74122,2020/11/15,Louisiana,0.004344392
74012,2020/11/16,Louisiana,0.012820513
73902,2020/11/17,Louisiana,0.006473724
73792,2020/11/18,Louisiana,0.012561687
73682,2020/11/19,Louisiana,0.007309942
73572,2020/11/20,Louisiana,0.007168459
73462,2020/11/21,Louisiana,0
73352,2020/11/22,Louisiana,0.007751938
73242,2020/11/23,Louisiana,0.024793388
73132,2020/11/24,Louisiana,0.012025902
73022,2020/11/25,Louisiana,0.021862348
72912,2020/11/26,Louisiana,0
72802,2020/11/27,Louisiana,0.008259468
72692,2020/11/28,Louisiana,0
72582,2020/11/29,Louisiana,0.009738284
72472,2020/11/30,Louisiana,0.076923077
72362,2020/12/1,Louisiana,0.006571536
72252,2020/12/2,Louisiana,0.012795549
72142,2020/12/3,Louisiana,0.00838498
72032,2020/12/4,Louisiana,0.007744434
71922,2020/12/5,Louisiana,0
71812,2020/12/6,Louisiana,0.009123163
71702,2020/12/7,Louisiana,0.022704837
71592,2020/12/8,Louisiana,0.018549052
71482,2020/12/9,Louisiana,0.007352941
71372,2020/12/10,Louisiana,0.016563147
71262,2020/12/11,Louisiana,0.015024458
71152,2020/12/12,Louisiana,0
71042,2020/12/13,Louisiana,0.011533243
70932,2020/12/14,Louisiana,0.026213592
70822,2020/12/15,Louisiana,0.018989746
70712,2020/12/16,Louisiana,0.01162435
70602,2020/12/17,Louisiana,0.008209746
70492,2020/12/18,Louisiana,0.009637006
70382,2020/12/19,Louisiana,0
70272,2020/12/20,Louisiana,0.012934519
70162,2020/12/21,Louisiana,0.058243728
70052,2020/12/22,Louisiana,0.01378751
69942,2020/12/23,Louisiana,0.022864829
69832,2020/12/24,Louisiana,0.017933723
69722,2020/12/25,Louisiana,0
69612,2020/12/26,Louisiana,0
69502,2020/12/27,Louisiana,0.005895129
69392,2020/12/28,Louisiana,0.055079559
69282,2020/12/29,Louisiana,0.015458692
69172,2020/12/30,Louisiana,0.007562278
69062,2020/12/31,Louisiana,0.009886307
68952,2021/1/1,Louisiana,0
68842,2021/1/2,Louisiana,0
68732,2021/1/3,Louisiana,0.008473111
68622,2021/1/4,Louisiana,0.042742654
68512,2021/1/5,Louisiana,0.011193195
68402,2021/1/6,Louisiana,0.006689936
68292,2021/1/7,Louisiana,0.010375276
68182,2021/1/8,Louisiana,0.031092686
68072,2021/1/9,Louisiana,0
67962,2021/1/10,Louisiana,0.007410152
67852,2021/1/11,Louisiana,0.03202847
67742,2021/1/12,Louisiana,0.011264612
67632,2021/1/13,Louisiana,0.017610497
67522,2021/1/14,Louisiana,0.01091662
67412,2021/1/15,Louisiana,0
67302,2021/1/16,Louisiana,0
67192,2021/1/17,Louisiana,0.029803732
67082,2021/1/18,Louisiana,0.051493306
66972,2021/1/19,Louisiana,0.033208606
66862,2021/1/20,Louisiana,0.023666266
66752,2021/1/21,Louisiana,0.015792291
66642,2021/1/22,Louisiana,0.021166753
66532,2021/1/23,Louisiana,0
66422,2021/1/24,Louisiana,0.022733574
66312,2021/1/25,Louisiana,0.012019231
66202,2021/1/26,Louisiana,0.011832061
66092,2021/1/27,Louisiana,0.017384536
65982,2021/1/28,Louisiana,0.022061773
65872,2021/1/29,Louisiana,0.024503591
65762,2021/1/30,Louisiana,0
65652,2021/1/31,Louisiana,0.017313433
65542,2021/2/1,Louisiana,0.05492228
65432,2021/2/2,Louisiana,0.015751056
65322,2021/2/3,Louisiana,0.025967663
65212,2021/2/4,Louisiana,0.013768116
65102,2021/2/5,Louisiana,0.036951501
64992,2021/2/6,Louisiana,0
64882,2021/2/7,Louisiana,0.022039979
64772,2021/2/8,Louisiana,0.019541206
64662,2021/2/9,Louisiana,0.014652015
64552,2021/2/10,Louisiana,0.15015015
64442,2021/2/11,Louisiana,0.009897361
64332,2021/2/12,Louisiana,0.031623932
64222,2021/2/13,Louisiana,0
64112,2021/2/14,Louisiana,0.012251149
64002,2021/2/15,Louisiana,0.065606362
63892,2021/2/16,Louisiana,0
63782,2021/2/17,Louisiana,0.105769231
63672,2021/2/18,Louisiana,0.018115942
63562,2021/2/19,Louisiana,0.077097506
63452,2021/2/20,Louisiana,0
63342,2021/2/21,Louisiana,0.013763896
63232,2021/2/22,Louisiana,0.023504274
63122,2021/2/23,Louisiana,0.018518519
63012,2021/2/24,Louisiana,0.028506271
62902,2021/2/25,Louisiana,0.043193717
62792,2021/2/26,Louisiana,0.028792913
62682,2021/2/27,Louisiana,0
62572,2021/2/28,Louisiana,0.013925729
62462,2021/3/1,Louisiana,0.04950495
62352,2021/3/2,Louisiana,0.024771838
62242,2021/3/3,Louisiana,0.042
62132,2021/3/4,Louisiana,0.023809524
62022,2021/3/5,Louisiana,0.057915058
61912,2021/3/6,Louisiana,0
61802,2021/3/7,Louisiana,0.043243243
61692,2021/3/8,Louisiana,0.01984127
61582,2021/3/9,Louisiana,0.017268446
61472,2021/3/10,Louisiana,0.073129252
61362,2021/3/11,Louisiana,0.038004751
61252,2021/3/12,Louisiana,0.060329068
61142,2021/3/13,Louisiana,0
61032,2021/3/14,Louisiana,0.025246981
60922,2021/3/15,Louisiana,0.110465116
60812,2021/3/16,Louisiana,0.022177419
60702,2021/3/17,Louisiana,0.06741573
60592,2021/3/18,Louisiana,0.035120148
60482,2021/3/19,Louisiana,0.072164948
60372,2021/3/20,Louisiana,0
60262,2021/3/21,Louisiana,0
60152,2021/3/22,Louisiana,0.031602709
60042,2021/3/23,Louisiana,0.009929078
59932,2021/3/24,Louisiana,0.042222222
59822,2021/3/25,Louisiana,0.042606516
59712,2021/3/26,Louisiana,0.031180401
59602,2021/3/27,Louisiana,0
59492,2021/3/28,Louisiana,0
59382,2021/3/29,Louisiana,0.041866029
59272,2021/3/30,Louisiana,0.019646365
59162,2021/3/31,Louisiana,0.01734104
59052,2021/4/1,Louisiana,0.037313433
58942,2021/4/2,Louisiana,0
58832,2021/4/3,Louisiana,0
58722,2021/4/4,Louisiana,0
58612,2021/4/5,Louisiana,0.003154574
58502,2021/4/6,Louisiana,0.041284404
58392,2021/4/7,Louisiana,0.015714286
58282,2021/4/8,Louisiana,0.033407572
58172,2021/4/9,Louisiana,0.021798365
58062,2021/4/10,Louisiana,0
57952,2021/4/11,Louisiana,0
57842,2021/4/12,Louisiana,0.025278059
57732,2021/4/13,Louisiana,0.030973451
57622,2021/4/14,Louisiana,0.02284264
57512,2021/4/15,Louisiana,0.01120797
57402,2021/4/16,Louisiana,0.018789144
57292,2021/4/17,Louisiana,0
57182,2021/4/18,Louisiana,0
57072,2021/4/19,Louisiana,0.007879656
56962,2021/4/20,Louisiana,0.036111111
56852,2021/4/21,Louisiana,0.015015015
56742,2021/4/22,Louisiana,0.012841091
56632,2021/4/23,Louisiana,0.022181146
56522,2021/4/24,Louisiana,0
56412,2021/4/25,Louisiana,0
56302,2021/4/26,Louisiana,0.006734007
56192,2021/4/27,Louisiana,0.022123894
56082,2021/4/28,Louisiana,0.033936652
55972,2021/4/29,Louisiana,0.015789474
55862,2021/4/30,Louisiana,0.008759124
55752,2021/5/1,Louisiana,0
55642,2021/5/2,Louisiana,0
55532,2021/5/3,Louisiana,0.014492754
55422,2021/5/4,Louisiana,0.012036108
55312,2021/5/5,Louisiana,0.027896996
55202,2021/5/6,Louisiana,0.017199017
55092,2021/5/7,Louisiana,0.014209591
54982,2021/5/8,Louisiana,0
54872,2021/5/9,Louisiana,0
54762,2021/5/10,Louisiana,0.00456621
54652,2021/5/11,Louisiana,0.020030817
54542,2021/5/12,Louisiana,0.025
54432,2021/5/13,Louisiana,0.014457831
54322,2021/5/14,Louisiana,0.021377672
54212,2021/5/15,Louisiana,0
54102,2021/5/16,Louisiana,0
53992,2021/5/17,Louisiana,0.009883199
53882,2021/5/18,Louisiana,0.022267206
53772,2021/5/19,Louisiana,0.014634146
53662,2021/5/20,Louisiana,0.019047619
53552,2021/5/21,Louisiana,0.014705882
53442,2021/5/22,Louisiana,0
53332,2021/5/23,Louisiana,0
53222,2021/5/24,Louisiana,0.022146508
53112,2021/5/25,Louisiana,0.012464046
53002,2021/5/26,Louisiana,0.033412888
52892,2021/5/27,Louisiana,0.017130621
52782,2021/5/28,Louisiana,0.016949153
52672,2021/5/29,Louisiana,0
52562,2021/5/30,Louisiana,0
52452,2021/5/31,Louisiana,0
52342,2021/6/1,Louisiana,0.016359918
52232,2021/6/2,Louisiana,0.004680187
52122,2021/6/3,Louisiana,0.031948882
52012,2021/6/4,Louisiana,0.027472527
51902,2021/6/5,Louisiana,0
51792,2021/6/6,Louisiana,0
51682,2021/6/7,Louisiana,0.005025126
51572,2021/6/8,Louisiana,0.029411765
51462,2021/6/9,Louisiana,0.011627907
51352,2021/6/10,Louisiana,0.014799154
51242,2021/6/11,Louisiana,0.043859649
51132,2021/6/12,Louisiana,0
51022,2021/6/13,Louisiana,0
50912,2021/6/14,Louisiana,0.012635379
50802,2021/6/15,Louisiana,0.008944544
50692,2021/6/16,Louisiana,0.030769231
50582,2021/6/17,Louisiana,0.020895522
50472,2021/6/18,Louisiana,0.033742331
50362,2021/6/19,Louisiana,0
50252,2021/6/20,Louisiana,0
50142,2021/6/21,Louisiana,0.00728863
50032,2021/6/22,Louisiana,0.018461538
49922,2021/6/23,Louisiana,0.020746888
49812,2021/6/24,Louisiana,0.021917808
49702,2021/6/25,Louisiana,0.028571429
49592,2021/6/26,Louisiana,0
49482,2021/6/27,Louisiana,0
49372,2021/6/28,Louisiana,0.005307856
49262,2021/6/29,Louisiana,0.00968523
49152,2021/6/30,Louisiana,0.010152284
49042,2021/7/1,Louisiana,0.017605634
48932,2021/7/2,Louisiana,0.017142857
48822,2021/7/3,Louisiana,0
48712,2021/7/4,Louisiana,0
48602,2021/7/5,Louisiana,0
48492,2021/7/6,Louisiana,0.002974715
48382,2021/7/7,Louisiana,0.001631321
48272,2021/7/8,Louisiana,0.007633588
48162,2021/7/9,Louisiana,0.010319917
48052,2021/7/10,Louisiana,0
47942,2021/7/11,Louisiana,0
47832,2021/7/12,Louisiana,0.003343084
47722,2021/7/13,Louisiana,0.009443861
47612,2021/7/14,Louisiana,0.005165289
47502,2021/7/15,Louisiana,0.008666667
47392,2021/7/16,Louisiana,0.004361371
47282,2021/7/17,Louisiana,0
47172,2021/7/18,Louisiana,0
47062,2021/7/19,Louisiana,0.003260597
46952,2021/7/20,Louisiana,0.012804097
46842,2021/7/21,Louisiana,0.002412769
46732,2021/7/22,Louisiana,0.005292872
46622,2021/7/23,Louisiana,0.003517749
46512,2021/7/24,Louisiana,0
46402,2021/7/25,Louisiana,0
46292,2021/7/26,Louisiana,0.001844046
46182,2021/7/27,Louisiana,0.002933412
46072,2021/7/28,Louisiana,0.002979357
45962,2021/7/29,Louisiana,0.004531038
45852,2021/7/30,Louisiana,0.005834745
45742,2021/7/31,Louisiana,0
45632,2021/8/1,Louisiana,0
45522,2021/8/2,Louisiana,0.002430681
45412,2021/8/3,Louisiana,0.012413213
45302,2021/8/4,Louisiana,0.009206947
45192,2021/8/5,Louisiana,0.006035113
45082,2021/8/6,Louisiana,0.007848267
44972,2021/8/7,Louisiana,0
44862,2021/8/8,Louisiana,0
44752,2021/8/9,Louisiana,0.003022426
44642,2021/8/10,Louisiana,0.015275953
44532,2021/8/11,Louisiana,0.010171999
44422,2021/8/12,Louisiana,0.010213732
44312,2021/8/13,Louisiana,0.007551669
44202,2021/8/14,Louisiana,0
44092,2021/8/15,Louisiana,0
43982,2021/8/16,Louisiana,0.004861631
43872,2021/8/17,Louisiana,0.033053373
43762,2021/8/18,Louisiana,0.013169846
43652,2021/8/19,Louisiana,0.01045045
43542,2021/8/20,Louisiana,0.011313745
43432,2021/8/21,Louisiana,0
43322,2021/8/22,Louisiana,0
43212,2021/8/23,Louisiana,0.005418312
43102,2021/8/24,Louisiana,0.036444678
42992,2021/8/25,Louisiana,0.016618825
42882,2021/8/26,Louisiana,0.014032352
42772,2021/8/27,Louisiana,0.017794632
42662,2021/8/28,Louisiana,0
42552,2021/8/29,Louisiana,0
42442,2021/8/30,Louisiana,0
42332,2021/8/31,Louisiana,0
42222,2021/9/1,Louisiana,0.018012924
42112,2021/9/2,Louisiana,0.035254883
42002,2021/9/3,Louisiana,0.019428571
41892,2021/9/4,Louisiana,0
41782,2021/9/5,Louisiana,0
41672,2021/9/6,Louisiana,0
41562,2021/9/7,Louisiana,0.013015184
41452,2021/9/8,Louisiana,0.044357469
41342,2021/9/9,Louisiana,0.015704671
41232,2021/9/10,Louisiana,0.02945237
41122,2021/9/11,Louisiana,0
41012,2021/9/12,Louisiana,0
40902,2021/9/13,Louisiana,0.015730881
40792,2021/9/14,Louisiana,0.04415011
40682,2021/9/15,Louisiana,0.032475749
40572,2021/9/16,Louisiana,0.0288635
40462,2021/9/17,Louisiana,0.023864158
40352,2021/9/18,Louisiana,0
40242,2021/9/19,Louisiana,0
40132,2021/9/20,Louisiana,0.017219787
40022,2021/9/21,Louisiana,0.0670347
39912,2021/9/22,Louisiana,0.051941238
39800,2021/9/23,Louisiana,0.02966381
39688,2021/9/24,Louisiana,0.038922156
39576,2021/9/25,Louisiana,0
39464,2021/9/26,Louisiana,0
39352,2021/9/27,Louisiana,0.017985612
39240,2021/9/28,Louisiana,0.052376334
39128,2021/9/29,Louisiana,0.047709924
39016,2021/9/30,Louisiana,0.056192661
38904,2021/10/1,Louisiana,0.028404953
38792,2021/10/2,Louisiana,0
38680,2021/10/3,Louisiana,0
38568,2021/10/4,Louisiana,0.022608696
38456,2021/10/5,Louisiana,0.040196078
38344,2021/10/6,Louisiana,0.036956522
38232,2021/10/7,Louisiana,0.038105046
38120,2021/10/8,Louisiana,0.043202033
38008,2021/10/9,Louisiana,0
37896,2021/10/10,Louisiana,0
37784,2021/10/11,Louisiana,0.021174863
37672,2021/10/12,Louisiana,0.030115146
37560,2021/10/13,Louisiana,0.054446461
37448,2021/10/14,Louisiana,0.033254157
37336,2021/10/15,Louisiana,0.044722719
37224,2021/10/16,Louisiana,0
37112,2021/10/17,Louisiana,0
37000,2021/10/18,Louisiana,0.026926648
36888,2021/10/19,Louisiana,0.065404475
36776,2021/10/20,Louisiana,0.072727273
36664,2021/10/21,Louisiana,0.02383532
36552,2021/10/22,Louisiana,0.02349486
36440,2021/10/23,Louisiana,0
36328,2021/10/24,Louisiana,0
36216,2021/10/25,Louisiana,0.020501139
