,date,location,ratio
84662,2020/8/11,Florida,0.047333219
84552,2020/8/12,Florida,0.026143791
84442,2020/8/13,Florida,0.023733162
84332,2020/8/14,Florida,0.037085231
84222,2020/8/15,Florida,0.032115869
84112,2020/8/16,Florida,0.028314369
84002,2020/8/17,Florida,0.032486931
83892,2020/8/18,Florida,0.057060969
83782,2020/8/19,Florida,0.042284326
83672,2020/8/20,Florida,0.025686059
83562,2020/8/21,Florida,0.025405636
83452,2020/8/22,Florida,0.024588263
83342,2020/8/23,Florida,0.017148621
83232,2020/8/24,Florida,0.031886625
83122,2020/8/25,Florida,0.068462402
83012,2020/8/26,Florida,0.047515528
82902,2020/8/27,Florida,0.041297033
82792,2020/8/28,Florida,0.023328965
82682,2020/8/29,Florida,0.0462934
82572,2020/8/30,Florida,0.005420054
82462,2020/8/31,Florida,0.036074271
82352,2020/9/1,Florida,0.024706038
82242,2020/9/2,Florida,0.052872606
82132,2020/9/3,Florida,0.041725007
82022,2020/9/4,Florida,0.031269543
81912,2020/9/5,Florida,0.016684902
81802,2020/9/6,Florida,0.014820593
81692,2020/9/7,Florida,0.011969532
81582,2020/9/8,Florida,0.024136039
81472,2020/9/9,Florida,0.097276265
81362,2020/9/10,Florida,0.08168796
81252,2020/9/11,Florida,0.048219178
81142,2020/9/12,Florida,0.030721003
81032,2020/9/13,Florida,0.003301692
80922,2020/9/14,Florida,0.019585253
80812,2020/9/15,Florida,0.046534018
80702,2020/9/16,Florida,0.064543524
80592,2020/9/17,Florida,0.04516129
80482,2020/9/18,Florida,0.043383271
80372,2020/9/19,Florida,0.017352365
80262,2020/9/20,Florida,0.003570012
80152,2020/9/21,Florida,0.012462908
80042,2020/9/22,Florida,0.040080972
79932,2020/9/23,Florida,0.077992278
79822,2020/9/24,Florida,0.069657615
79712,2020/9/25,Florida,0.042149631
79602,2020/9/26,Florida,0.038282648
79492,2020/9/27,Florida,0.005313496
79382,2020/9/28,Florida,0.006775068
79272,2020/9/29,Florida,0.032455603
79162,2020/9/30,Florida,0.089322382
79052,2020/10/1,Florida,0.048325723
78942,2020/10/2,Florida,0.041353383
78832,2020/10/3,Florida,0.026551848
78722,2020/10/4,Florida,0.023019272
78612,2020/10/5,Florida,0.028975265
78502,2020/10/6,Florida,0.024433585
78392,2020/10/7,Florida,0.053059644
78282,2020/10/8,Florida,0.049606776
78172,2020/10/9,Florida,0.040577717
78062,2020/10/10,Florida,0
77952,2020/10/11,Florida,0.031956912
77842,2020/10/12,Florida,0.031311155
77732,2020/10/13,Florida,0.043669725
77622,2020/10/14,Florida,0.022199098
77512,2020/10/15,Florida,0.042014303
77402,2020/10/16,Florida,0.027254277
77292,2020/10/17,Florida,0.021513353
77182,2020/10/18,Florida,0.019692792
77072,2020/10/19,Florida,0.031634446
76962,2020/10/20,Florida,0.022938285
76852,2020/10/21,Florida,0.048973881
76742,2020/10/22,Florida,0.010255488
76632,2020/10/23,Florida,0.019788561
76522,2020/10/24,Florida,0.017222098
76412,2020/10/25,Florida,0.005031447
76302,2020/10/26,Florida,0.005922416
76192,2020/10/27,Florida,0.013029316
76082,2020/10/28,Florida,0.016038882
75972,2020/10/29,Florida,0.018342068
75862,2020/10/30,Florida,0.012875536
75752,2020/10/31,Florida,0.017589018
75642,2020/11/1,Florida,0.005755396
75532,2020/11/2,Florida,0.009675339
75422,2020/11/3,Florida,0.012076774
75312,2020/11/4,Florida,0.007234908
75202,2020/11/5,Florida,0.006233019
75092,2020/11/6,Florida,0.010104862
74982,2020/11/7,Florida,0.019317161
74872,2020/11/8,Florida,0.003079179
74762,2020/11/9,Florida,0.014780836
74652,2020/11/10,Florida,0.015851137
74542,2020/11/11,Florida,0.00890716
74432,2020/11/12,Florida,0.012841091
74322,2020/11/13,Florida,0.010529352
74212,2020/11/14,Florida,0.009683099
74102,2020/11/15,Florida,0.002869866
73992,2020/11/16,Florida,0.008792623
73882,2020/11/17,Florida,0.011395629
73772,2020/11/18,Florida,0.010977918
73662,2020/11/19,Florida,0.008695652
73552,2020/11/20,Florida,0.008695652
73442,2020/11/21,Florida,0.004875728
73332,2020/11/22,Florida,0.009260665
73222,2020/11/23,Florida,0.014847575
73112,2020/11/24,Florida,0.008416131
73002,2020/11/25,Florida,0.011580707
72892,2020/11/26,Florida,0
72782,2020/11/27,Florida,0.006284594
72672,2020/11/28,Florida,0.01258563
72562,2020/11/29,Florida,0.007877224
72452,2020/11/30,Florida,0.014566752
72342,2020/12/1,Florida,0.009268679
72232,2020/12/2,Florida,0.009705823
72122,2020/12/3,Florida,0.009015639
72012,2020/12/4,Florida,0.011791294
71902,2020/12/5,Florida,0.008628128
71792,2020/12/6,Florida,0.011024182
71682,2020/12/7,Florida,0.013616911
71572,2020/12/8,Florida,0.012022542
71462,2020/12/9,Florida,0.008757298
71352,2020/12/10,Florida,0.011380679
71242,2020/12/11,Florida,0.010513719
71132,2020/12/12,Florida,0.006712678
71022,2020/12/13,Florida,0.009042197
70912,2020/12/14,Florida,0.016209181
70802,2020/12/15,Florida,0.008394432
70692,2020/12/16,Florida,0.010571008
70582,2020/12/17,Florida,0.007681777
70472,2020/12/18,Florida,0.007384615
70362,2020/12/19,Florida,0.006163328
70252,2020/12/20,Florida,0.011308178
70142,2020/12/21,Florida,0.010167953
70032,2020/12/22,Florida,0.007092199
69922,2020/12/23,Florida,0.01054111
69812,2020/12/24,Florida,0.009203621
69702,2020/12/25,Florida,0
69592,2020/12/26,Florida,0.008214998
69482,2020/12/27,Florida,0.010418076
69372,2020/12/28,Florida,0.011710173
69262,2020/12/29,Florida,0.008364389
69152,2020/12/30,Florida,0.009876721
69042,2020/12/31,Florida,0.007387157
68932,2021/1/1,Florida,0
68822,2021/1/2,Florida,0.006884955
68712,2021/1/3,Florida,0.009148354
68602,2021/1/4,Florida,0.009150675
68492,2021/1/5,Florida,0.006350852
68382,2021/1/6,Florida,0.007254119
68272,2021/1/7,Florida,0.00827614
68162,2021/1/8,Florida,0.009472606
68052,2021/1/9,Florida,0.00893493
67942,2021/1/10,Florida,0.008771217
67832,2021/1/11,Florida,0.013735314
67722,2021/1/12,Florida,0.01047261
67612,2021/1/13,Florida,0.012080057
67502,2021/1/14,Florida,0.015816327
67392,2021/1/15,Florida,0.011022222
67282,2021/1/16,Florida,0.016915587
67172,2021/1/17,Florida,0.011989543
67062,2021/1/18,Florida,0.01712072
66952,2021/1/19,Florida,0.016503667
66842,2021/1/20,Florida,0.011918751
66732,2021/1/21,Florida,0.012506797
66622,2021/1/22,Florida,0.019826518
66512,2021/1/23,Florida,0.01242791
66402,2021/1/24,Florida,0.013529103
66292,2021/1/25,Florida,0.017545872
66182,2021/1/26,Florida,0.023660621
66072,2021/1/27,Florida,0.019029496
65962,2021/1/28,Florida,0.017683621
65852,2021/1/29,Florida,0.019952624
65742,2021/1/30,Florida,0.007057727
65632,2021/1/31,Florida,0.015279918
65522,2021/2/1,Florida,0.035951134
65412,2021/2/2,Florida,0.013006741
65302,2021/2/3,Florida,0.02822754
65192,2021/2/4,Florida,0.029568149
65082,2021/2/5,Florida,0.018192844
64972,2021/2/6,Florida,0.018968742
64862,2021/2/7,Florida,0.01464372
64752,2021/2/8,Florida,0.020742548
64642,2021/2/9,Florida,0.033176705
64532,2021/2/10,Florida,0.021228606
64422,2021/2/11,Florida,0.020410557
64312,2021/2/12,Florida,0.024025207
64202,2021/2/13,Florida,0.015701929
64092,2021/2/14,Florida,0.017660044
63982,2021/2/15,Florida,0.042876902
63872,2021/2/16,Florida,0.034937272
63762,2021/2/17,Florida,0.021383819
63652,2021/2/18,Florida,0.031854602
63542,2021/2/19,Florida,0.032620081
63432,2021/2/20,Florida,0.016620879
63322,2021/2/21,Florida,0.018361303
63212,2021/2/22,Florida,0.038304023
63102,2021/2/23,Florida,0.026381462
62992,2021/2/24,Florida,0.017817059
62882,2021/2/25,Florida,0.020783133
62772,2021/2/26,Florida,0.024653833
62662,2021/2/27,Florida,0.020150211
62552,2021/2/28,Florida,0.021303484
62442,2021/3/1,Florida,0.086470588
62332,2021/3/2,Florida,0.018944143
62222,2021/3/3,Florida,0.021948786
62112,2021/3/4,Florida,0.019614253
62002,2021/3/5,Florida,0.022594142
61892,2021/3/6,Florida,0.020895522
61782,2021/3/7,Florida,0.015373353
61672,2021/3/8,Florida,0.024456522
61562,2021/3/9,Florida,0.028242205
61452,2021/3/10,Florida,0.012157428
61342,2021/3/11,Florida,0.01816387
61232,2021/3/12,Florida,0.02013809
61122,2021/3/13,Florida,0.01525553
61012,2021/3/14,Florida,0.0081103
60902,2021/3/15,Florida,0.032908705
60792,2021/3/16,Florida,0.021081194
60682,2021/3/17,Florida,0.011959122
60572,2021/3/18,Florida,0.018456705
60462,2021/3/19,Florida,0.010311284
60352,2021/3/20,Florida,0.012144956
60242,2021/3/21,Florida,0.007273639
60132,2021/3/22,Florida,0.012928022
60022,2021/3/23,Florida,0.007732931
59912,2021/3/24,Florida,0.005833171
59802,2021/3/25,Florida,0.018534557
59692,2021/3/26,Florida,0.027652174
59582,2021/3/27,Florida,0.004419514
59472,2021/3/28,Florida,0.007283027
59362,2021/3/29,Florida,0.020450504
59252,2021/3/30,Florida,0.017977084
59142,2021/3/31,Florida,0.016433699
59032,2021/4/1,Florida,0.010162003
58922,2021/4/2,Florida,0.014175655
58812,2021/4/3,Florida,0.010968921
58702,2021/4/4,Florida,0.00458907
58592,2021/4/5,Florida,0.010344828
58482,2021/4/6,Florida,0.012598992
58372,2021/4/7,Florida,0.007136788
58262,2021/4/8,Florida,0.010580678
58152,2021/4/9,Florida,0.008706642
58042,2021/4/10,Florida,0.006660875
57932,2021/4/11,Florida,0.001268116
57822,2021/4/12,Florida,0.021698698
57712,2021/4/13,Florida,0.007057786
57602,2021/4/14,Florida,0.006497342
57492,2021/4/15,Florida,0.010943508
57382,2021/4/16,Florida,0.012609649
57272,2021/4/17,Florida,0.011703305
57162,2021/4/18,Florida,0.005121452
57052,2021/4/19,Florida,0.007552514
56942,2021/4/20,Florida,0.010983171
56832,2021/4/21,Florida,0.014898582
56722,2021/4/22,Florida,0.011968881
56612,2021/4/23,Florida,0.011530015
56502,2021/4/24,Florida,0.007151532
56392,2021/4/25,Florida,0.007707129
56282,2021/4/26,Florida,0.018218047
56172,2021/4/27,Florida,0.008726997
56062,2021/4/28,Florida,0.013904983
55952,2021/4/29,Florida,0.009530533
55842,2021/4/30,Florida,0.014511873
55732,2021/5/1,Florida,0.0143938
55622,2021/5/2,Florida,0.007550117
55512,2021/5/3,Florida,0.012682927
55402,2021/5/4,Florida,0.02498642
55292,2021/5/5,Florida,0.017979062
55182,2021/5/6,Florida,0.015763766
55072,2021/5/7,Florida,0.020648259
54962,2021/5/8,Florida,0.016343978
54852,2021/5/9,Florida,0.009594553
54742,2021/5/10,Florida,0.022648084
54632,2021/5/11,Florida,0.014710389
54522,2021/5/12,Florida,0.016017588
54412,2021/5/13,Florida,0.011564961
54302,2021/5/14,Florida,0.019777159
54192,2021/5/15,Florida,0.016872552
54082,2021/5/16,Florida,0.007655117
53972,2021/5/17,Florida,0.029352227
53862,2021/5/18,Florida,0.033511586
53752,2021/5/19,Florida,0.015652793
53642,2021/5/20,Florida,0.026270308
53532,2021/5/21,Florida,0.039645719
53422,2021/5/22,Florida,0.00645919
53312,2021/5/23,Florida,0.005316578
53202,2021/5/24,Florida,0.016811955
53092,2021/5/25,Florida,0.042689434
52982,2021/5/26,Florida,0.028362699
52872,2021/5/27,Florida,0.036783576
52762,2021/5/28,Florida,0.017536356
52652,2021/5/29,Florida,0
52542,2021/5/30,Florida,0
52432,2021/5/31,Florida,0
52322,2021/6/1,Florida,0.016001347
