,date,location,ratio
85134,2020/8/7,Mississippi,0.022200772
85024,2020/8/8,Mississippi,0.021487603
84914,2020/8/9,Mississippi,0.041745731
84804,2020/8/10,Mississippi,0.033613445
84694,2020/8/11,Mississippi,0.049689441
84584,2020/8/12,Mississippi,0.041628122
84474,2020/8/13,Mississippi,0.035947712
84364,2020/8/14,Mississippi,0.033898305
84254,2020/8/15,Mississippi,0.044848485
84144,2020/8/16,Mississippi,0.010498688
84034,2020/8/17,Mississippi,0.039855072
83924,2020/8/18,Mississippi,0.041509434
83814,2020/8/19,Mississippi,0.025964392
83704,2020/8/20,Mississippi,0.030201342
83594,2020/8/21,Mississippi,0.027459954
83484,2020/8/22,Mississippi,0.024338624
83374,2020/8/23,Mississippi,0.004792332
83264,2020/8/24,Mississippi,0.015655577
83154,2020/8/25,Mississippi,0.083645443
83044,2020/8/26,Mississippi,0.064159292
82934,2020/8/27,Mississippi,0.044444444
82824,2020/8/28,Mississippi,0.023372287
82714,2020/8/29,Mississippi,0.019047619
82604,2020/8/30,Mississippi,0.021638331
82494,2020/8/31,Mississippi,0.116788321
82384,2020/9/1,Mississippi,0.031545741
82274,2020/9/2,Mississippi,0.042253521
82164,2020/9/3,Mississippi,0.013315579
82054,2020/9/4,Mississippi,0.02673147
81944,2020/9/5,Mississippi,0.020408163
81834,2020/9/6,Mississippi,0.036585366
81724,2020/9/7,Mississippi,0.004132231
81614,2020/9/8,Mississippi,0
81504,2020/9/9,Mississippi,0.089201878
81394,2020/9/10,Mississippi,0.063829787
81284,2020/9/11,Mississippi,0.016412661
81174,2020/9/12,Mississippi,0.033707865
81064,2020/9/13,Mississippi,0.047244094
80954,2020/9/14,Mississippi,0.0625
80844,2020/9/15,Mississippi,0.055445545
80734,2020/9/16,Mississippi,0.030942335
80624,2020/9/17,Mississippi,0.034236805
80514,2020/9/18,Mississippi,0.024144869
80404,2020/9/19,Mississippi,0.025954198
80294,2020/9/20,Mississippi,0.003610108
80184,2020/9/21,Mississippi,0
80074,2020/9/22,Mississippi,0.077419355
79964,2020/9/23,Mississippi,0.043478261
79854,2020/9/24,Mississippi,0.005427408
79744,2020/9/25,Mississippi,0.027700831
79634,2020/9/26,Mississippi,0.026356589
79524,2020/9/27,Mississippi,0.043956044
79414,2020/9/28,Mississippi,0.010526316
79304,2020/9/29,Mississippi,0.061120543
79194,2020/9/30,Mississippi,0.02173913
79084,2020/10/1,Mississippi,0.014367816
78974,2020/10/2,Mississippi,0.029761905
78864,2020/10/3,Mississippi,0.019704433
78754,2020/10/4,Mississippi,0.00623053
78644,2020/10/5,Mississippi,0
78534,2020/10/6,Mississippi,0.014358974
78424,2020/10/7,Mississippi,0.042628774
78314,2020/10/8,Mississippi,0.039792388
78204,2020/10/9,Mississippi,0.006960557
78094,2020/10/10,Mississippi,0.016718913
77984,2020/10/11,Mississippi,0.017006803
77874,2020/10/12,Mississippi,0
77764,2020/10/13,Mississippi,0.019635344
77654,2020/10/14,Mississippi,0.028538813
77544,2020/10/15,Mississippi,0.009077156
77434,2020/10/16,Mississippi,0.007168459
77324,2020/10/17,Mississippi,0.014647137
77214,2020/10/18,Mississippi,0
77104,2020/10/19,Mississippi,0
76994,2020/10/20,Mississippi,0.042465753
76884,2020/10/21,Mississippi,0.026217228
76774,2020/10/22,Mississippi,0.008350731
76664,2020/10/23,Mississippi,0.008805031
76554,2020/10/24,Mississippi,0.014026403
76444,2020/10/25,Mississippi,0
