,date,location,ratio
85720,2020/8/2,South Carolina,0.021867115
85610,2020/8/3,South Carolina,0.013757524
85500,2020/8/4,South Carolina,0.043583535
85390,2020/8/5,South Carolina,0.036661466
85280,2020/8/6,South Carolina,0.036981132
85170,2020/8/7,South Carolina,0.013361463
85060,2020/8/8,South Carolina,0.03626108
84950,2020/8/9,South Carolina,0.024615385
84840,2020/8/10,South Carolina,0.024861878
84730,2020/8/11,South Carolina,0.05046344
84620,2020/8/12,South Carolina,0.05450237
84510,2020/8/13,South Carolina,0.044919786
84400,2020/8/14,South Carolina,0.019313305
84290,2020/8/15,South Carolina,0.053794428
84180,2020/8/16,South Carolina,0.014634146
84070,2020/8/17,South Carolina,0.041666667
83960,2020/8/18,South Carolina,0.076495132
83850,2020/8/19,South Carolina,0.02300406
83740,2020/8/20,South Carolina,0.04510451
83630,2020/8/21,South Carolina,0.054820416
83520,2020/8/22,South Carolina,0.037077426
83410,2020/8/23,South Carolina,0.015873016
83300,2020/8/24,South Carolina,0.012433393
83190,2020/8/25,South Carolina,0.019210245
83080,2020/8/26,South Carolina,0.072727273
82970,2020/8/27,South Carolina,0.108910891
82860,2020/8/28,South Carolina,0.019955654
82750,2020/8/29,South Carolina,0.033127889
82640,2020/8/30,South Carolina,0.010232558
82530,2020/8/31,South Carolina,0.016467066
82420,2020/9/1,South Carolina,0.043325527
82310,2020/9/2,South Carolina,0.056316591
82200,2020/9/3,South Carolina,0.010896899
82090,2020/9/4,South Carolina,0.023941068
81980,2020/9/5,South Carolina,0.032157676
81870,2020/9/6,South Carolina,0.015082956
81760,2020/9/7,South Carolina,0.030534351
81650,2020/9/8,South Carolina,0.016611296
81540,2020/9/9,South Carolina,0.098360656
81430,2020/9/10,South Carolina,0.08707124
81320,2020/9/11,South Carolina,0.021597392
81210,2020/9/12,South Carolina,0.012875536
81100,2020/9/13,South Carolina,0.012725345
80990,2020/9/14,South Carolina,0.015931373
80880,2020/9/15,South Carolina,0.026582278
80770,2020/9/16,South Carolina,0.052147239
80660,2020/9/17,South Carolina,0.019637462
80550,2020/9/18,South Carolina,0.021788991
80440,2020/9/19,South Carolina,0.011930586
80330,2020/9/20,South Carolina,0.023504274
80220,2020/9/21,South Carolina,0.03125
80110,2020/9/22,South Carolina,0.01163227
80000,2020/9/23,South Carolina,0.021181717
79890,2020/9/24,South Carolina,0.016650343
79780,2020/9/25,South Carolina,0.015062762
79670,2020/9/26,South Carolina,0.01896426
79560,2020/9/27,South Carolina,0.004885993
79450,2020/9/28,South Carolina,0.019366197
79340,2020/9/29,South Carolina,0.018659881
79230,2020/9/30,South Carolina,0.061688312
79120,2020/10/1,South Carolina,0.057742782
79010,2020/10/2,South Carolina,0.010440835
78900,2020/10/3,South Carolina,0.019343494
78790,2020/10/4,South Carolina,0.015918958
78680,2020/10/5,South Carolina,0.005199307
78570,2020/10/6,South Carolina,0.018495684
78460,2020/10/7,South Carolina,0.042176871
78350,2020/10/8,South Carolina,0.011428571
78240,2020/10/9,South Carolina,0.017372421
