,date,location,ratio
85324,2020/8/5,Georgia,0.016272565
85214,2020/8/6,Georgia,0.014802065
85104,2020/8/7,Georgia,0.021881288
84994,2020/8/8,Georgia,0.016369048
84884,2020/8/9,Georgia,0.004579077
84774,2020/8/10,Georgia,0.014091123
84664,2020/8/11,Georgia,0.032107574
84554,2020/8/12,Georgia,0.027903269
84444,2020/8/13,Georgia,0.034393809
84334,2020/8/14,Georgia,0.010244049
84224,2020/8/15,Georgia,0.031167109
84114,2020/8/16,Georgia,0.017572762
84004,2020/8/17,Georgia,0.014319809
83894,2020/8/18,Georgia,0.023591549
83784,2020/8/19,Georgia,0.020590521
83674,2020/8/20,Georgia,0.017474448
83564,2020/8/21,Georgia,0.031933356
83454,2020/8/22,Georgia,0.035577659
83344,2020/8/23,Georgia,0.024088944
83234,2020/8/24,Georgia,0.010859729
83124,2020/8/25,Georgia,0.045272969
83014,2020/8/26,Georgia,0.018257893
82904,2020/8/27,Georgia,0.031708284
82794,2020/8/28,Georgia,0.033478261
82684,2020/8/29,Georgia,0.041966935
82574,2020/8/30,Georgia,0.023746702
82464,2020/8/31,Georgia,0.019649123
82354,2020/9/1,Georgia,0.042497832
82244,2020/9/2,Georgia,0.031475748
82134,2020/9/3,Georgia,0.027195027
82024,2020/9/4,Georgia,0.031140131
81914,2020/9/5,Georgia,0.020756458
81804,2020/9/6,Georgia,0.038873995
81694,2020/9/7,Georgia,0.013182674
81584,2020/9/8,Georgia,0.01659751
81474,2020/9/9,Georgia,0.028865979
81364,2020/9/10,Georgia,0.038187373
81254,2020/9/11,Georgia,0.024788392
81144,2020/9/12,Georgia,0.01974001
81034,2020/9/13,Georgia,0.033667622
80924,2020/9/14,Georgia,0.020325203
80814,2020/9/15,Georgia,0.026554013
80704,2020/9/16,Georgia,0.010463378
80594,2020/9/17,Georgia,0.028017241
80484,2020/9/18,Georgia,0.031778575
80374,2020/9/19,Georgia,0.031762837
80264,2020/9/20,Georgia,0.00289296
80154,2020/9/21,Georgia,0.002275313
80044,2020/9/22,Georgia,0.072251309
79934,2020/9/23,Georgia,0.051419389
79824,2020/9/24,Georgia,0.03057905
79714,2020/9/25,Georgia,0.028490028
79604,2020/9/26,Georgia,0.028005464
79494,2020/9/27,Georgia,0.040364583
79384,2020/9/28,Georgia,0.021806854
79274,2020/9/29,Georgia,0.03125
79164,2020/9/30,Georgia,0.017053206
79054,2020/10/1,Georgia,0.027540984
78944,2020/10/2,Georgia,0.03008596
78834,2020/10/3,Georgia,0.017589577
78724,2020/10/4,Georgia,0.032258065
78614,2020/10/5,Georgia,0.001358377
78504,2020/10/6,Georgia,0.034907598
78394,2020/10/7,Georgia,0.01618705
78284,2020/10/8,Georgia,0.026219956
78174,2020/10/9,Georgia,0.029575893
78064,2020/10/10,Georgia,0.031757234
77954,2020/10/11,Georgia,0.018623482
77844,2020/10/12,Georgia,0.004346372
77734,2020/10/13,Georgia,0.019475021
77624,2020/10/14,Georgia,0.010362694
77514,2020/10/15,Georgia,0.01228364
77404,2020/10/16,Georgia,0.034714446
77294,2020/10/17,Georgia,0.029578351
77184,2020/10/18,Georgia,0.023754789
77074,2020/10/19,Georgia,0.01010101
76964,2020/10/20,Georgia,0.011227545
76854,2020/10/21,Georgia,0.019876628
76744,2020/10/22,Georgia,0.014059754
76634,2020/10/23,Georgia,0.017105871
76524,2020/10/24,Georgia,0.024375743
76414,2020/10/25,Georgia,0.000744602
76304,2020/10/26,Georgia,0.004578988
76194,2020/10/27,Georgia,0.013900245
76084,2020/10/28,Georgia,0.019041769
75974,2020/10/29,Georgia,0.026254376
75864,2020/10/30,Georgia,0.023538345
75754,2020/10/31,Georgia,0.008892482
75644,2020/11/1,Georgia,0.001870907
75534,2020/11/2,Georgia,0.00505476
75424,2020/11/3,Georgia,0.016533987
75314,2020/11/4,Georgia,0.144765455
75204,2020/11/5,Georgia,0.023159636
75094,2020/11/6,Georgia,0.011231748
74984,2020/11/7,Georgia,0.018491484
74874,2020/11/8,Georgia,0.000735294
74764,2020/11/9,Georgia,0.017802333
74654,2020/11/10,Georgia,0.011759172
74544,2020/11/11,Georgia,0.033025099
74434,2020/11/12,Georgia,0.024488427
74324,2020/11/13,Georgia,0.008135833
74214,2020/11/14,Georgia,0.016893011
74104,2020/11/15,Georgia,0.000524109
73994,2020/11/16,Georgia,0.009285051
73884,2020/11/17,Georgia,0.008962264
73774,2020/11/18,Georgia,0.017667845
73664,2020/11/19,Georgia,0.00986365
73554,2020/11/20,Georgia,0.010953227
73444,2020/11/21,Georgia,0.006072874
73334,2020/11/22,Georgia,0.006616674
73224,2020/11/23,Georgia,0.008664628
73114,2020/11/24,Georgia,0.001985816
73004,2020/11/25,Georgia,0.022754854
72894,2020/11/26,Georgia,0.010095183
72784,2020/11/27,Georgia,0.014974434
72674,2020/11/28,Georgia,0.016014898
72564,2020/11/29,Georgia,0.009439528
72454,2020/11/30,Georgia,0.00448654
72344,2020/12/1,Georgia,0.011810178
72234,2020/12/2,Georgia,0.008836524
72124,2020/12/3,Georgia,0.013723366
72014,2020/12/4,Georgia,0.010600707
71904,2020/12/5,Georgia,0.012740142
71794,2020/12/6,Georgia,0.005050505
71684,2020/12/7,Georgia,0.008400078
71574,2020/12/8,Georgia,0.00431277
71464,2020/12/9,Georgia,0.008360913
71354,2020/12/10,Georgia,0.007063841
71244,2020/12/11,Georgia,0.009301539
71134,2020/12/12,Georgia,0.006551614
71024,2020/12/13,Georgia,0.000434122
70914,2020/12/14,Georgia,0.006150405
70804,2020/12/15,Georgia,0.007229573
70694,2020/12/16,Georgia,0.008638982
70584,2020/12/17,Georgia,0.008068783
70474,2020/12/18,Georgia,0.004392019
70364,2020/12/19,Georgia,0.007673943
70254,2020/12/20,Georgia,0.000386473
70144,2020/12/21,Georgia,0.004387168
70034,2020/12/22,Georgia,0.007278189
69924,2020/12/23,Georgia,0.007717898
69814,2020/12/24,Georgia,0.006127809
69704,2020/12/25,Georgia,0.008556344
69594,2020/12/26,Georgia,0.012606123
69484,2020/12/27,Georgia,0.001162453
69374,2020/12/28,Georgia,0.001690005
69264,2020/12/29,Georgia,0.00827436
69154,2020/12/30,Georgia,0.007142857
69044,2020/12/31,Georgia,0.007586576
68934,2021/1/1,Georgia,0.00202113
68824,2021/1/2,Georgia,0.000280623
68714,2021/1/3,Georgia,0.000710732
68604,2021/1/4,Georgia,0.001360809
68494,2021/1/5,Georgia,0.01030303
68384,2021/1/6,Georgia,0.012046562
68274,2021/1/7,Georgia,0.006619092
